,country,gdp_cap,gdp_cap_year,population,population_year,old_population,old_population_year,physicians,physicians_year,hosp_beds,hosp_beds_year,health_exp,health_exp_year,health_workers,health_workers_year,ppl_per_hosp_bed,ppl_per_physician,tot_hosp_beds,continent
45,Spain,30370.8923252247,2018,46723749.0,2018,19.3785075224995,2018,4.0691,2016,3.0,2013,2389.88740785,2016,,,333.3333333333333,245.75458946695832,140171247.0,Europe
46,Estonia,23266.346271875096,2018,1320884.0,2018,19.626356846974897,2018,3.4651,2016,5.0,2015,1185.33334806,2016,,,200.0,288.5919598279992,6604420.0,Europe
47,Ethiopia,772.313530261357,2018,109224559.0,2018,3.5011329976098597,2018,0.1,2017,0.3,2015,27.52365701,2016,,,3333.3333333333335,10000.0,32767367.7,Africa
48,Finland,50152.340141130306,2018,5518050.0,2018,21.7207875455222,2018,3.8080000000000003,2016,4.4,2015,4117.25778244,2016,,,227.27272727272725,262.6050420168067,24279420.000000004,Europe
49,Fiji,6266.96796528074,2018,883483.0,2018,5.449680412639519,2018,0.8374,2015,2.3,2011,179.91156997,2016,,,434.7826086956522,1194.1724385001194,2032010.9,Oceania
50,France,41463.644022703396,2018,66987244.0,2018,20.0346247469881,2018,3.2349,2016,6.5,2013,4263.36156106,2016,,,153.84615384615384,309.1285665708368,435417086.0,Europe
51,Gabon,7952.525892776509,2018,2119275.0,2018,3.5639074683559198,2018,0.3611,2016,6.3,2010,220.35470890000002,2016,,,158.73015873015873,2769.3159789531987,13351432.5,Africa
52,United Kingdom,42943.9022698053,2018,66488991.0,2018,18.395865674146602,2018,2.8058,2017,2.8,2013,3958.01889383,2016,,,357.14285714285717,356.40459049112553,186169174.79999998,Europe
53,Georgia,4717.143025735771,2018,3731000.0,2018,14.865491431052499,2018,5.0976,2015,2.6,2013,308.03165121,2016,,,384.6153846153846,196.17074701820465,9700600.0,Europe
54,Ghana,2202.31216442504,2018,29767108.0,2018,3.0688980069339595,2018,0.18,2017,0.9,2011,67.50885898,2016,,,1111.111111111111,5555.555555555556,26790397.2,Africa
